Time (secs),[3d Latitude],[3d Longitude],[3d Altitude M],[3d Altitude Ft],[3d Heading],GROSS WEIGHT (KG),WIND SPEED,CAPT PITCH ATT,RIGHT ENG N2 TACHO,RIGHT ENG N1 TACHO,N1 #2 COMMAND INDICATED,N1 #1 COMMAND INDICATED,TE FLAP POSN - RIGHT,TE FLAP POSN - LEFT,FLAP 4 EXTEND,FLAP 3 EXTEND,FLAP 2 EXTEND,FLAP 1 EXTEND,FLAP HANDLE POSN,Flap Handle Selection,WIND DIRECTION TRUE,SELECTED FUEL FLOW #2 (KG),SELECTED FUEL FLOW #1 (KG),RIGHT MAIN FUEL QTY (KG),LEFT MAIN FUEL QTY (KG),CENTER MAIN FUEL QTY (KG),AUX TANK FUEL QTY ( KG),TRUE AIRSPEED (derived),V2 SPEED,V1 SPEED,TOTAL AIR TEMP,MACH,IAS DISPLAY,CAPT GROUNDSPEED,COMPUTED AIRSPEED,PRES POSN LONG,PRES POSN LAT,WIND DIRECTION TRUE.1,Flight Phases,Altitude Change
1674.0,50.613026,3.823756,10721.8,35176.5,210.6,,,U 3.3,89.88,,85.38,85.25,,,False (0),False (0),False (0),False (0),0.7,0.0,337.1,1132.0,1147.0,,,,,431.3,,,-32.75,0.753,Display - Mach (0),484.0,254.3,,N50 36.78,,Cruise,850.6999999999971
1675.0,50.610966,3.822389,10722.4,35178.6,210.6,,,U 3.3,,,,,,,False (0),False (0),False (0),False (0),0.7,0.0,,1139.0,1147.0,,,,,431.2,*0.00,,-32.5,0.753,Display - Mach (0),483.5,254.0,E003 49.34,,,Cruise,838.5999999999985
1676.0,50.608906,3.821052,10722.9,35180.0,210.6,,,U 3.3,,85.4,85.38,85.38,,0.0,False (0),False (0),False (0),False (0),0.7,0.0,,1139.0,1154.0,,,,,431.1,,,-32.25,0.752,Display - Mach (0),483.5,253.8,,,,Cruise,824.6999999999971
1677.0,50.606846,3.819722,10723.6,35182.4,210.6,,82.5,U 3.3,,,,,0.0,,False (0),False (0),False (0),False (0),0.7,0.0,,1139.0,1161.0,,,,,430.8,,,-32.25,0.751,Display - Mach (0),483.5,253.5,,,,Cruise,812.7000000000044
1678.0,50.604786,3.818391,10723.9,35183.4,210.6,,,U 3.3,90.0,,85.5,85.5,,,False (0),False (0),False (0),False (0),0.7,0.0,336.4,1139.0,1161.0,,,,,431.0,,,-32.0,0.751,Display - Mach (0),483.5,253.5,,N50 36.28,,Cruise,798.4000000000015
1679.0,50.602726,3.817061,10724.1,35184.0,210.6,,,U 3.3,,,,,,,False (0),False (0),False (0),False (0),0.7,0.0,,1139.0,1154.0,,,,,431.2,,,-31.75,0.751,Display - Mach (0),483.5,253.5,E003 49.02,,,Cruise,781.6999999999971
1680.0,50.600666,3.81573,10724.6,35185.7,210.6,,,U 3.3,,85.5,85.5,85.63,,0.0,False (0),False (0),False (0),False (0),0.7,0.0,,1139.0,1161.0,,,,,431.3,,,-31.75,0.751,Display - Mach (0),483.5,253.5,,,,Cruise,766.1999999999971
1681.0,50.598606,3.8144,10724.3,35184.7,210.6,,82.5,U 3.3,,,,,0.0,,False (0),False (0),False (0),False (0),0.7,0.0,,1147.0,1161.0,,,,,431.2,,,-31.75,0.751,Display - Mach (0),483.5,253.5,,,,Cruise,747.7999999999956
1682.0,50.596546,3.81307,10724.4,35185.1,210.6,,,U 3.3,90.13,,85.5,85.5,,,False (0),False (0),False (0),False (0),0.7,0.0,336.1,1147.0,1161.0,,,,,430.9,,,-31.75,0.751,Display - Mach (0),483.0,253.3,,N50 35.79,,Cruise,732.0999999999985
1683.0,50.594486,3.811733,10724.4,35185.0,210.6,,,U 3.3,,,,,,,False (0),False (0),False (0),False (0),0.7,0.0,,1147.0,1161.0,,,,,431.2,,*0.00,-31.75,0.751,Display - Mach (0),483.0,253.5,E003 48.70,,,Cruise,716.8000000000029
1684.0,50.592426,3.810366,10724.1,35184.1,210.6,,,U 3.3,,85.5,85.5,85.63,,0.0,False (0),False (0),False (0),False (0),0.7,0.0,,1147.0,1161.0,,,,,431.2,,,-31.75,0.751,Display - Mach (0),483.0,253.5,,,,Cruise,700.0999999999985
1685.0,50.590366,3.808993,10723.8,35183.2,210.6,,82.0,U 3.3,,,,,0.0,,False (0),False (0),False (0),False (0),0.7,0.0,,1147.0,1161.0,,,,,431.6,,,-31.75,0.752,Display - Mach (0),483.0,253.8,,,,Cruise,683.2999999999956
1686.0,50.588314,3.807619,10723.8,35183.1,210.6,,,U 3.3,90.13,,85.5,85.5,,,False (0),False (0),False (0),False (0),0.7,0.0,335.7,1147.0,1161.0,,,,,432.0,,,-32.0,0.753,Display - Mach (0),483.0,254.3,,N50 35.29,,Cruise,667.0999999999985
