Time (secs),[3d Latitude],[3d Longitude],[3d Altitude M],[3d Altitude Ft],[3d Heading],GROSS WEIGHT (KG),WIND SPEED,CAPT PITCH ATT,RIGHT ENG N2 TACHO,RIGHT ENG N1 TACHO,N1 #2 COMMAND INDICATED,N1 #1 COMMAND INDICATED,TE FLAP POSN - RIGHT,TE FLAP POSN - LEFT,FLAP 4 EXTEND,FLAP 3 EXTEND,FLAP 2 EXTEND,FLAP 1 EXTEND,FLAP HANDLE POSN,Flap Handle Selection,WIND DIRECTION TRUE,SELECTED FUEL FLOW #2 (KG),SELECTED FUEL FLOW #1 (KG),RIGHT MAIN FUEL QTY (KG),LEFT MAIN FUEL QTY (KG),CENTER MAIN FUEL QTY (KG),AUX TANK FUEL QTY ( KG),TRUE AIRSPEED (derived),V2 SPEED,V1 SPEED,TOTAL AIR TEMP,MACH,IAS DISPLAY,CAPT GROUNDSPEED,COMPUTED AIRSPEED,PRES POSN LONG,PRES POSN LAT,WIND DIRECTION TRUE.1,Flight Phases,Altitude Change
35.75,52.309937,4.77451,-1.2,-4.0,7.8,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
36.0,52.309925,4.77451,-1.2,-4.0,8.8,,,D 0.7,,3.3,3.25,2.25,,0.0,False (0),False (0),False (0),False (0),0.4,0.0,,276.0,0.0,,,,,45.7,,,26.25,0.15,Display - IAS (1),3.0,45.0,,,,Cruise,
36.25,52.309917,4.77451,-1.2,-4.0,9.8,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
36.5,52.309906,4.77451,-1.2,-4.0,10.7,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
36.75,52.309895,4.77451,-1.2,-4.0,11.7,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
37.0,52.309883,4.77451,-1.2,-4.0,12.7,,0.0,D 0.7,,,,,0.0,,False (0),False (0),False (0),False (0),0.4,0.0,,494.0,0.0,,,,,45.7,,,26.25,0.15,Display - IAS (1),3.0,45.0,,,,Cruise,
37.25,52.309872,4.77451,-1.2,-4.0,13.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
37.5,52.30986,4.77451,-1.2,-4.0,14.6,,102.5,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
37.75,52.309853,4.77451,-1.2,-4.0,15.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
38.0,52.309849,4.77451,-1.2,-4.0,16.5,,,D 0.7,30.5,,4.63,2.25,,,False (0),False (0),False (0),False (0),0.4,0.0,0.0,348.0,0.0,,,,,45.7,,,26.0,0.15,Display - IAS (1),3.0,45.0,,N52 18.48,,Cruise,
