Latitude,Longitude,Burned Fuel (kg),Time Taken (seconds),Temperature Used (Celsius)
50.11928880242782,4.638317540497869,0.501628314120111,0.00023436793934958174,-39.86099999999999
50.11894897404363,4.635686981673488,84.03137956626992,0.03926066514844613,-39.86099999999999
49.837200517028826,4.535903180636748,211.37781828346098,0.09856405697249784,-39.585999999999984
49.11286502859574,4.601793389504375,233.9422350954967,0.10864720057128982,-39.02299999999997
48.326578543289116,4.379357254370425,60.52702741707315,0.028109896808852418,-39.02299999999997
48.1233437111683,4.320666894203454,146.89076657065704,0.06812157657206798,-38.82299999999998
47.63314308728977,4.162360742145324,243.72559171462225,0.11258788548164785,-38.27299999999997
46.80538656154095,4.2334907920224305,108.46720646983687,0.050012856428500334,-38.01099999999997
46.43755361551932,4.262279000903181,106.70104761488103,0.04923340241496613,-38.11099999999999
46.0893139228218,4.116351753822513,274.5437431084612,0.12658864604616565,-38.01099999999997
45.33295459161363,3.337718852981997,210.25959021339716,0.09715464306797278,-38.31099999999998
44.66091043988156,2.99043071008955,147.35555594658757,0.06800982905194751,-38.14799999999997
44.18564872688809,2.768721403263568,43.28549572130897,0.019977795513201353,-38.14799999999997
44.04519303987278,2.8299075296130227,4.402062363590572,0.002031708318703132,-38.14799999999997
,,1876.0111483997634,0.8685345303356086,
