Latitude,Longitude,Burned Fuel (kg),Time Taken (seconds),Temperature Used (Celsius)
52.15953429122505,4.808279742896322,165.18667501716777,0.07767974293573332,-40.76099999999997
51.59153406741118,4.704446734798146,185.80705574354477,0.08725796902491614,-40.57299999999998
50.953611374559564,4.586832031412345,246.79022405080522,0.11530393048857991,-39.86099999999999
50.126581077823104,4.287895092388905,275.93797805021416,0.128668025861374,-39.585999999999984
49.179453537710415,4.305478509271291,167.1888690538394,0.07792385456035432,-39.52299999999997
48.646526722971764,3.9831399278732027,204.05340282981595,0.09505469661198605,-39.44799999999998
48.02373159169531,3.50412492246969,284.22462573566656,0.13175283381601277,-38.76099999999997
47.054388211759026,3.5665018309880367,287.5528294996993,0.1329167379553186,-38.36099999999999
46.10727170926385,3.20708956437239,49.1720909851857,0.02268661994430064,-38.097999999999985
45.99355877283231,3.0312113809681507,359.6590021517054,0.16568740396369327,-37.88599999999997
44.775848914055686,3.1509261684417305,256.9940341527843,0.11861188550254982,-38.14799999999997
43.93237208190248,2.831919067551138,154.99574180338078,0.07143467399728547,-37.94799999999998
43.40656558759387,2.86697322985707,334.9134238371238,0.1544243419507764,-38.01099999999997
42.34769153169584,2.299482497921861,74.39483951195909,0.03430251915418883,-38.01099999999997
,,3046.8707924228925,1.4137052357670696,
