Latitude,Longitude
43.65309908772959,7.944291449163831
34.914695355705774,10.200300353977742
26.142688831138678,12.018445190361774
17.351078185800546,13.580341261602529
8.548465759629286,14.998175555384737
-0.25906916517134254,16.35149329712799
-9.066459362044336,17.706708433296015
-17.86860887598215,19.130607983314626
-26.659339543258714,20.70401891650723
-35.429831581609356,22.54193551790576
-44.16562114067882,24.831936128590353
-52.83966890093553,27.921693045257598
-61.393343595148025,32.55356604426903
-69.67170235769942,40.625242110741645
-77.12940165555335,58.19163512495459
