Latitude,Longitude,Burned Fuel (kg),Time Taken (seconds),Temperature Used (Celsius)
50.28640170441132,4.303271211145587,89.73948278198922,0.04194263601996986,-39.91099999999997
49.9903349444432,4.167068670364488,154.61429092038867,0.07216648010854324,-39.722999999999985
49.4627502839931,4.0709604114322815,280.5958379201749,0.13078089102505563,-39.52299999999997
48.523055749119116,3.7519106653683325,102.98388251271625,0.04790050965895041,-39.23599999999999
48.173368127201705,3.682877904626533,221.8543949656921,0.10315342750810857,-39.18599999999998
47.417096105369964,3.5772226586732505,19.254984419830496,0.008929627955331814,-38.82299999999998
47.35253442817718,3.595637886652365,121.1767253301786,0.05617168784538642,-38.76099999999997
46.94935038505664,3.4598297691641458,186.21009912908661,0.08607266704221594,-38.36099999999999
46.325892890884816,3.2929677731762927,180.8745291676886,0.08345042113559765,-38.097999999999985
45.71906032212829,3.1521084085837225,138.09115253782113,0.06367208311795822,-38.01099999999997
45.25315233120381,3.074840889053308,171.6683031651772,0.07932276812282417,-38.31099999999998
44.682272143145944,2.8986692985646543,196.65497589268185,0.09076326445080929,-38.14799999999997
44.036891928074,2.6542445833902555,190.58362771104734,0.08783647315955961,-37.94799999999998
43.39179603920087,2.5808939024669066,55.820976896088155,0.025726857011597493,-37.94799999999998
,,2110.123263350561,0.9778897941619084,
