Latitude,Longitude,Burned Fuel (kg),Time Taken (seconds),Temperature Used (Celsius),Estimated FF (kg/hr)
49.346602845050185,5.679856264252938,330.7517475918158,0.17116368568508478,-53.38899999999998,1932.371029917811
48.1220580401363,6.314433529561305,830.6339448414719,0.42869940046594884,-53.05099999999999,1937.5673115909765
44.800700895690206,7.2705177282487385,702.2890224269202,0.3615640868918391,-52.738999999999976,1942.3638792892834
42.00811119851387,7.631512452288731,626.1501245790253,0.31839588384104955,-51.16399999999999,1966.577321997082
39.59012723730458,7.9869330286643585,1038.679788488075,0.5050193574460679,-45.30099999999999,2056.712823327763
35.885881472994804,8.636701134557041,676.9771369578789,0.32392016547267316,-43.13899999999998,2089.950577698722
33.57629416523095,9.190616812767377,765.082459433179,0.3663112470347242,-43.22599999999997,2088.6130732443867
30.98128922620728,9.616874103309264,882.2477947466041,0.42534516080976503,-44.16399999999999,2074.192622920631
27.96572951186839,10.18262782022063,772.9642497893285,0.37404407183973093,-44.66399999999999,2066.505815711806
25.3164010452543,10.529147004158887,933.5663617708605,0.45433638095425705,-45.42599999999999,2054.7911215255567
22.118754440994852,11.219016449492328,854.392223558798,0.41740698765860607,-45.938999999999965,2046.9044573293027
19.240752672964252,12.075707583037097,817.6430036069372,0.3990398351093831,-45.80099999999999,2049.026016118938
16.471748872425636,12.75806810528993,667.6681872662289,0.3275373567300455,-46.488999999999976,2038.4489693995952
14.183893607540385,13.30423731628106,942.8057830640074,0.46421635370882053,-46.97599999999997,2030.9620191781996
10.829572360634783,13.785510770209267,871.1344870899736,0.4330673311584956,-48.238999999999976,2011.5451441687078
7.689869298672165,14.124153632936665,642.9394271172557,0.3201752321400375,-48.46399999999997,2008.0860809247367
5.294363578217113,14.201278876229408,722.3863711138741,0.36053091665626924,-48.750999999999976,2003.6738535868712
2.5626114642722793,14.13716408319613,762.6634678699262,0.379796202520718,-48.46399999999997,2008.0860809247367
-0.36126442028199574,13.922923873851776,798.8469833011568,0.39934376791550746,-48.96399999999997,2000.399273715912
-3.3768961259484884,13.839783114240841,834.7274245807962,0.41780057539719356,-49.125999999999976,1997.9087481802526
-6.541747454840142,13.826441279816757,793.0826804028472,0.39772151026050995,-49.375999999999976,1994.0653445758398
-9.539720855026824,13.788595411038225,746.0869194821324,0.37143324494438357,-48.42599999999999,2008.6702782726072
-12.300726485090253,14.058380777020496,765.7734664458505,0.3809803489451861,-48.33899999999997,2010.0077827269429
-15.13653989117194,14.49595378691026,834.9050022391456,0.415056557223914,-48.238999999999976,2011.5451441687078
-18.1539762708882,15.143247103587466,778.4163202651847,0.3873443670365099,-48.363999999999976,2009.6234423665016
-20.89090808144092,15.747733452109115,896.3167191542533,0.44199533218241077,-47.17599999999999,2027.8872962946696
-23.91441148694078,16.269915335268305,694.1413990557218,0.3420722035328505,-47.08899999999997,2029.2248007490052
-26.190413561843354,17.032732229348102,721.8136673541889,0.34684058383693395,-43.71399999999997,2081.1107494085736
-28.50603928569639,18.011718385964897,782.8163260841515,0.3706091480078882,-41.688999999999965,2112.2423186043147
,,22487.90248967759,11.101767295406805,,
