Latitude,Longitude,Burned Fuel (kg),Time Taken (seconds),Temperature Used (Celsius),Estimated FF (kg/hr)
54.044900873440085,7.578950474677219,1235.551346411507,0.626331154178478,-50.76699999999997,1972.680646920889
57.12241199493798,15.079740919792533,1305.4585489467597,0.6613152879222806,-50.678999999999974,1974.0335249896423
59.90584392762092,23.283392877164246,1485.8232981437627,0.7535642278584262,-50.82899999999998,1971.7274828269947
61.95358827942825,34.04513981063309,1421.442394770131,0.7280075678939533,-52.07899999999998,1952.5104648049323
64.14846463113541,46.118851330362205,1490.0992066453289,0.7736792239265915,-53.803999999999974,1925.9909799344864
64.00862073931576,59.854202563723966,1875.074908108108,0.9294217499696216,-47.853999999999985,2017.463985719503
61.14860214000237,73.71624896141272,1128.4762191636535,0.5683404661434072,-49.928999999999974,1985.5637358028796
58.88454718697603,80.78408280257777,1829.3719693748808,0.9122459195379914,-48.64199999999997,2005.3495775583951
55.317094642233776,91.96483637969393,1989.543325155689,0.960541963884434,-44.353999999999985,2071.2716361812772
50.98299777050503,101.25545329740407,2849.876042877173,1.3232434805084943,-38.99199999999999,2153.7049566887163
44.54673355386812,113.36250127960903,749.5984732403527,0.34227728034646343,-36.62899999999999,2190.0328075576226
42.593274351099936,115.89340553642455,256.49726442595323,0.11691510356005626,-36.37899999999999,2193.8762111620354
41.856228491696086,116.60421187408599,1770.1201278114938,0.8024877780960111,-35.603999999999985,2205.790762335714
37.75414957648996,122.59017677895395,1372.6676457273143,0.6240415814104714,-36.00399999999999,2199.641316568654
34.23237943428329,126.65456224274973,2135.2316320086275,0.9864932744623268,-38.29199999999997,2164.466486781071
28.64469162067317,132.45079339770606,2280.5941611811977,1.0681578962658915,-40.20399999999998,2135.0721360145244
21.667403268392455,136.7662784442846,1076.063091176112,0.5034971019999305,-40.06699999999998,2137.1783211897427
18.37175226893428,138.55183029437993,1437.5687135716805,0.67531981670442,-40.61699999999999,2128.7228332600353
14.102531485327047,141.33065285821704,1262.156548507398,0.592703253439078,-40.56699999999998,2129.4915139809177
10.059339851333867,143.0310764236088,1449.3270410662933,0.6852977623374799,-41.51699999999997,2114.8865802841506
5.298631600978207,144.78085150486555,2011.4687102512673,0.9449180883594888,-40.61699999999999,2128.7228332600353
-1.119805804756776,147.69693745041903,1719.29089025716,0.8058415127550232,-40.303999999999974,2133.5347745727595
-6.847060859981618,149.56560565059962,1294.4728103602715,0.6049309511907272,-39.89199999999997,2139.8687037128316
-11.373587949829608,150.751052390421,1583.5964301605975,0.7439185625379875,-40.61699999999999,2128.7228332600353
-16.786398015664627,153.08598151105366,1595.3903903553698,0.7516302615287782,-41.01699999999997,2122.5733874929756
-22.306621512213773,155.6627113726567,1703.0461760057826,0.8069494773192953,-41.803999999999974,2110.474352946285
-28.222731587684,159.85289781678506,1334.6526397585149,0.6450820852782615,-44.50399999999999,2068.96559401863
-33.09472718377809,163.73964340243694,1075.1577355887164,0.5386223384516693,-49.24199999999999,1996.1254089078047
-36.76595168141238,167.50535506982996,726.2666146199496,0.3578438350363192,-47.06699999999998,2029.5630202661935
,,43443.884355671034,20.833619002903358,,
