Latitude,Longitude
50.62205384451904,-5.643925359169318
50.618172550287255,-5.639782305798483
49.370353079161845,-10.420426484239005
48.804029249241225,-15.765665794146043
46.618249652272745,-21.942483292623198
46.85746084408657,-27.818952365568048
45.74274811956172,-34.0247708191925
44.76137027734536,-39.440380162663075
44.33349535847061,-44.521075796128756
44.51049419235522,-50.696849384048654
43.9345242963755,-56.0945003915177
42.409742329353456,-62.20478533350488
41.197203792416964,-69.20363894558776
40.684481713552465,-70.97379696035321
